ticker,name,volume_ratio,resistance_price,buy_date,buy_price,sell_date,sell_price,sell_reason,holding_trading_days,return_pct,open_position
041910,폴라리스AI파마,172.38,7370.0,20230223,8647.26,20230224,8371.07,-3%손절,1,-3.19,False
096240,크레버스,29.79,17950.0,20230224,19258.44,20230227,18643.33,-3%손절,1,-3.19,False
317120,라닉스,149.53,5340.0,20230224,6623.22,20230227,6411.67,-3%손절,1,-3.19,False
058650,세아홀딩스,251.88,106600.0,20230228,122244.0,20230228,118339.53,-3%손절,0,-3.19,False
212560,네오오토,265.92,6710.0,20230227,7474.92,20230228,7236.17,-3%손절,1,-3.19,False
044180,KD,160.14,735.0,20230302,768.53,20230302,743.99,-3%손절,0,-3.19,False
004545,깨끗한나라우,116.72,18100.0,20230227,18637.2,20230309,18041.93,-3%손절,7,-3.19,False
066590,스모트로닉,147.08,2520.0,20230228,2745.48,20230309,2876.99,+5%익절,6,4.79,False
072870,메가스터디,29.84,10740.0,20230224,11603.16,20230327,11826.3,20일만기,20,1.92,False
004980,성신양회,75.86,9440.0,20230331,11372.7,20230331,11009.46,-3%손절,0,-3.19,False
004985,성신양회우,160.4,12690.0,20230331,13787.52,20230331,13347.15,-3%손절,0,-3.19,False
048470,대동스틸,70.99,4170.0,20230331,4283.55,20230331,4146.73,-3%손절,0,-3.19,False
098120,마이크로컨텍솔,66.61,6470.0,20230331,7845.66,20230331,7595.07,-3%손절,0,-3.19,False
290740,액트로,60.66,6540.0,20230331,7314.6,20230331,7080.97,-3%손절,0,-3.19,False
069260,TKG휴켐스,24.07,19180.0,20230403,22745.4,20230403,22018.91,-3%손절,0,-3.19,False
143540,영우디에스피,19.55,1469.0,20230403,1531.06,20230403,1482.15,-3%손절,0,-3.19,False
195990,루트K,27.62,410.0,20230403,575.15,20230403,556.78,-3%손절,0,-3.19,False
289080,SV인베스트먼트,21.58,2305.0,20230403,2384.76,20230403,2498.99,+5%익절,0,4.79,False
005965,동부건설우,33.28,29500.0,20230404,30561.0,20230404,29584.88,-3%손절,0,-3.19,False
012800,대창,68.64,1249.0,20230404,1422.84,20230404,1490.99,+5%익절,0,4.79,False
060480,국일신동,32.74,2725.0,20230404,2955.9,20230404,2861.49,-3%손절,0,-3.19,False
004090,한국석유,33.14,10460.0,20230405,11603.16,20230405,11232.56,-3%손절,0,-3.19,False
198440,강동씨앤엘,32.92,2540.0,20230405,2755.5,20230405,2667.49,-3%손절,0,-3.19,False
024120,KB오토시스,34.61,4440.0,20230405,4809.6,20230406,4655.98,-3%손절,1,-3.19,False
049960,쎌바이오텍,104.06,12830.0,20230406,15531.0,20230406,15034.94,-3%손절,0,-3.19,False
184230,SGA솔루션즈,54.04,954.0,20230404,1044.08,20230406,1010.74,-3%손절,2,-3.19,False
000225,유유제약1우,63.34,6280.0,20230407,6763.5,20230407,6547.47,-3%손절,0,-3.19,False
004700,조광피혁,201.13,49300.0,20230407,51202.2,20230407,49566.8,-3%손절,0,-3.19,False
177830,파버나인,130.91,4120.0,20230406,4754.49,20230407,4602.63,-3%손절,1,-3.19,False
004565,현대비앤지스틸우,62.72,48100.0,20230407,55110.0,20230410,57749.77,+5%익절,1,4.79,False
094840,슈프리마에이치큐,142.96,5490.0,20230410,6653.28,20230410,6440.77,-3%손절,0,-3.19,False
113810,디젠스,121.14,927.0,20230410,1191.38,20230410,1153.33,-3%손절,0,-3.19,False
900270,헝셩그룹,98.7,336.0,20230410,365.73,20230410,383.25,+5%익절,0,4.79,False
090350,노루페인트,52.79,7820.0,20230411,8446.86,20230411,8177.07,-3%손절,0,-3.19,False
258610,케일럼,23.08,2450.0,20230411,3707.4,20230411,3588.99,-3%손절,0,-3.19,False
285490,노바텍,23.48,26800.0,20230411,34068.0,20230411,32979.87,-3%손절,0,-3.19,False
900070,글로벌에스엠,48.53,717.0,20230411,824.65,20230411,798.31,-3%손절,0,-3.19,False
123840,뉴온,55.69,413.0,20230412,546.09,20230412,572.25,+5%익절,0,4.79,False
200230,텔콘RF제약,34.83,1097.0,20230412,1183.36,20230412,1240.05,+5%익절,0,4.79,False
007820,엠엑스로보틱스,56.3,6800.0,20230413,8647.26,20230413,8371.07,-3%손절,0,-3.19,False
039860,나노엔텍,34.14,5430.0,20230411,5561.1,20230413,5827.48,+5%익절,2,4.79,False
38380K,LX홀딩스1우,279.15,10760.0,20230413,14709.36,20230413,14239.54,-3%손절,0,-3.19,False
900340,윙입푸드,59.57,970.0,20230413,1022.04,20230413,989.4,-3%손절,0,-3.19,False
001795,대한제당우,115.23,2335.0,20230414,2505.0,20230414,2424.99,-3%손절,0,-3.19,False
001790,대한제당,151.22,2750.0,20230414,3036.06,20230417,3181.49,+5%익절,1,4.79,False
234690,녹십자웰빙,140.05,7410.0,20230417,7975.92,20230417,8357.97,+5%익절,0,4.79,False
