ticker,name,score,status,buy_date,buy_price,sell_date,sell_price,sell_reason,holding_trading_days,return_pct,open_position
008770,호텔신라,69.3,confirmed_turnaround,20220826,74100.0,20220926,72300.0,만기청산(30일),19,-2.43,False
011780,금호석유화학,73.2,confirmed_turnaround,20220921,131000.0,20220926,117900.0,-10%,3,-10.0,False
069620,대웅제약,65.1,confirmed_turnaround,20220921,172000.0,20220926,154800.0,-10%,3,-10.0,False
078930,GS,79.0,confirmed_turnaround,20220923,47500.0,20220926,42750.0,-10%,1,-10.0,False
012330,현대모비스,74.0,confirmed_turnaround,20220913,219500.0,20220927,197550.0,-10%,10,-10.0,False
088350,한화생명,78.2,confirmed_turnaround,20220913,2465.0,20220927,2218.5,-10%,10,-10.0,False
285130,SK케미칼,65.3,confirmed_turnaround,20220919,104500.0,20220928,94050.0,-10%,7,-10.0,False
179290,엠아이텍,65.4,confirmed_turnaround,20220930,13150.0,20220930,13807.5,+5%,0,5.0,False
081660,미스토홀딩스,67.0,confirmed_turnaround,20220929,33000.0,20221005,29700.0,-10%,3,-10.0,False
034230,파라다이스,66.7,confirmed_turnaround,20220923,16550.0,20221011,14895.0,-10%,10,-10.0,False
006650,대한유화,68.5,confirmed_turnaround,20221013,119500.0,20221018,125475.0,+5%,3,5.0,False
214150,클래시스,65.7,confirmed_turnaround,20221017,15200.0,20221018,15960.0,+5%,1,5.0,False
098460,고영,65.7,confirmed_turnaround,20221013,13950.0,20221019,12555.0,-10%,4,-10.0,False
033780,KT&G,65.4,confirmed_turnaround,20220920,84900.0,20221020,88000.0,만기청산(30일),20,3.65,False
009830,한화솔루션,67.1,confirmed_turnaround,20221020,51500.0,20221025,46350.0,-10%,3,-10.0,False
131970,두산테스나,65.5,confirmed_turnaround,20221011,23200.0,20221025,24360.0,+5%,10,5.0,False
267250,HD현대,70.9,confirmed_turnaround,20221013,57500.0,20221028,60375.0,+5%,11,5.0,False
010120,LS ELECTRIC,66.9,confirmed_turnaround,20221027,51900.0,20221031,54495.0,+5%,2,5.0,False
047040,대우건설,75.8,confirmed_turnaround,20221031,4305.0,20221102,4520.25,+5%,2,5.0,False
091990,셀트리온헬스케어,70.1,confirmed_turnaround,20221004,68900.0,20221103,67600.0,만기청산(30일),21,-1.89,False
298020,효성티앤씨,68.5,confirmed_turnaround,20221021,282000.0,20221107,296100.0,+5%,11,5.0,False
060250,NHN KCP,69.5,confirmed_turnaround,20221019,12500.0,20221108,13125.0,+5%,14,5.0,False
086280,현대글로비스,74.0,confirmed_turnaround,20221104,173000.0,20221108,181650.0,+5%,2,5.0,False
141080,리가켐바이오,73.5,confirmed_turnaround,20221103,33650.0,20221108,35332.5,+5%,3,5.0,False
058470,리노공업,65.2,confirmed_turnaround,20221011,138300.0,20221110,135300.0,만기청산(30일),22,-2.17,False
005690,파미셀,74.3,confirmed_turnaround,20221026,10300.0,20221111,10815.0,+5%,12,5.0,False
064760,티씨케이,65.8,confirmed_turnaround,20221017,101400.0,20221111,106470.0,+5%,19,5.0,False
195940,HK이노엔,81.9,confirmed_turnaround,20221019,35350.0,20221111,37117.5,+5%,17,5.0,False
096530,씨젠,75.1,confirmed_turnaround,20221111,32200.0,20221114,33810.0,+5%,1,5.0,False
105630,한세실업,71.6,confirmed_turnaround,20221110,15400.0,20221114,16170.0,+5%,2,5.0,False
004370,농심,70.2,confirmed_turnaround,20221114,305000.0,20221115,320250.0,+5%,1,5.0,False
003230,삼양식품,65.8,confirmed_turnaround,20221108,112500.0,20221116,101250.0,-10%,6,-10.0,False
023530,롯데쇼핑,69.9,confirmed_turnaround,20221018,89800.0,20221117,88300.0,만기청산(30일),22,-1.67,False
192080,더블유게임즈,73.7,confirmed_turnaround,20221115,46150.0,20221118,48457.5,+5%,3,5.0,False
271560,오리온,69.9,confirmed_turnaround,20221116,107000.0,20221118,112350.0,+5%,2,5.0,False
064260,다날,76.6,confirmed_turnaround,20221114,6170.0,20221122,5553.0,-10%,6,-10.0,False
282330,BGF리테일,69.1,confirmed_turnaround,20221121,194500.0,20221125,204225.0,+5%,4,5.0,False
067630,HLB생명과학,68.5,confirmed_turnaround,20221101,12100.0,20221128,10890.0,-10%,19,-10.0,False
140860,파크시스템스,71.1,confirmed_turnaround,20221118,108700.0,20221129,114135.0,+5%,7,5.0,False
039030,이오테크닉스,68.9,confirmed_turnaround,20221114,69100.0,20221201,72555.0,+5%,13,5.0,False
085370,루트로닉,71.9,confirmed_turnaround,20221111,19600.0,20221201,20580.0,+5%,14,5.0,False
032830,삼성생명,65.9,confirmed_turnaround,20221129,70000.0,20221209,73500.0,+5%,8,5.0,False
049070,인탑스,68.9,confirmed_turnaround,20221122,30450.0,20221212,27405.0,-10%,14,-10.0,False
078930,GS,68.0,confirmed_turnaround,20221110,48450.0,20221212,46000.0,만기청산(30일),22,-5.06,False
128940,한미약품,72.4,confirmed_turnaround,20221213,277500.0,20221213,291375.0,+5%,0,5.0,False
005940,NH투자증권,72.4,confirmed_turnaround,20221115,9650.0,20221215,9520.0,만기청산(30일),22,-1.35,False
111770,영원무역,66.6,confirmed_turnaround,20221117,48750.0,20221219,44850.0,만기청산(30일),22,-8.0,False
323990,박셀바이오,81.8,confirmed_turnaround,20221216,38200.0,20221219,40110.0,+5%,1,5.0,False
056190,SFA,67.8,confirmed_turnaround,20221123,40000.0,20221220,36000.0,-10%,19,-10.0,False
222080,SFA넥셀,66.9,confirmed_turnaround,20221130,12600.0,20221226,11340.0,-10%,18,-10.0,False
240810,원익IPS,85.5,confirmed_turnaround,20221212,27850.0,20221226,25065.0,-10%,10,-10.0,False
028260,삼성물산,70.0,confirmed_turnaround,20221128,119000.0,20221228,118000.0,만기청산(30일),22,-0.84,False
003550,LG,72.5,confirmed_turnaround,20221202,83800.0,20221229,78100.0,만기청산(30일),19,-6.8,False
005930,삼성전자,65.2,confirmed_turnaround,20221202,62500.0,20221229,56250.0,-10%,19,-10.0,False
011200,HMM,77.3,confirmed_turnaround,20221221,21900.0,20221229,19710.0,-10%,6,-10.0,False
018260,삼성에스디에스,80.1,confirmed_turnaround,20221213,128500.0,20221229,123000.0,만기청산(30일),12,-4.28,False
032640,LG유플러스,78.3,confirmed_turnaround,20221214,12050.0,20221229,11050.0,만기청산(30일),11,-8.3,False
051600,한전KPS,79.3,confirmed_turnaround,20221220,34450.0,20221229,33200.0,만기청산(30일),7,-3.63,False
105630,한세실업,82.9,confirmed_turnaround,20221227,16150.0,20221229,15400.0,만기청산(30일),2,-4.64,False
195940,HK이노엔,84.6,confirmed_turnaround,20221227,38300.0,20221229,37050.0,만기청산(30일),2,-3.26,False
214150,클래시스,76.6,confirmed_turnaround,20221229,18800.0,20221229,18400.0,만기청산(30일),0,-2.13,False
225570,넥슨게임즈,75.8,confirmed_turnaround,20221220,13900.0,20221229,14595.0,+5%,7,5.0,False
