ticker,name,score,status,buy_date,buy_price,sell_date,sell_price,sell_reason,holding_trading_days,return_pct,open_position
287410,제이시스메디칼,65.8,watching,20220812,7790.0,20220819,7400.5,-5%,4,-5.0,False
253450,스튜디오드래곤,67.0,confirmed_turnaround,20220810,78800.0,20220823,74860.0,-5%,8,-5.0,False
008770,호텔신라,67.2,watching,20220822,71400.0,20220825,74970.0,+5%,3,5.0,False
035900,JYP Ent.,76.2,confirmed_turnaround,20220824,58900.0,20220825,61845.0,+5%,1,5.0,False
000370,한화손해보험,72.8,watching,20220826,4745.0,20220829,4507.75,-5%,1,-5.0,False
000810,삼성화재,67.7,confirmed_turnaround,20220809,203500.0,20220829,193325.0,-5%,13,-5.0,False
003230,삼양식품,66.2,confirmed_turnaround,20220817,115000.0,20220829,109250.0,-5%,8,-5.0,False
053800,안랩,74.4,watching,20220826,88500.0,20220829,84075.0,-5%,1,-5.0,False
011210,현대위아,66.8,watching,20220830,70300.0,20220830,73815.0,+5%,0,5.0,False
007070,GS리테일,69.0,watching,20220830,24650.0,20220901,25882.5,+5%,2,5.0,False
030200,KT,65.2,confirmed_turnaround,20220811,38950.0,20220901,37002.5,-5%,14,-5.0,False
000250,삼천당제약,69.3,watching,20220831,34900.0,20220905,33155.0,-5%,3,-5.0,False
019170,신풍제약,65.8,watching,20220902,27150.0,20220906,25792.5,-5%,2,-5.0,False
011780,금호석유화학,71.8,watching,20220819,131000.0,20220907,124450.0,-5%,13,-5.0,False
006800,미래에셋증권,67.5,watching,20220902,6520.0,20220908,6846.0,+5%,4,5.0,False
000880,한화,67.9,watching,20220906,30950.0,20220913,29402.5,-5%,3,-5.0,False
023530,롯데쇼핑,68.4,watching,20220830,98500.0,20220914,93575.0,-5%,9,-5.0,False
204320,HL만도,68.8,watching,20220822,54000.0,20220914,51300.0,-5%,15,-5.0,False
009150,삼성전기,72.2,watching,20220908,138500.0,20220916,131575.0,-5%,4,-5.0,False
088350,한화생명,78.2,confirmed_turnaround,20220913,2465.0,20220916,2341.75,-5%,3,-5.0,False
161890,한국콜마,79.3,confirmed_turnaround,20220919,39450.0,20220920,41422.5,+5%,1,5.0,False
402340,SK스퀘어,68.1,confirmed_turnaround,20220915,42850.0,20220920,40707.5,-5%,3,-5.0,False
192820,코스맥스,67.4,watching,20220921,61500.0,20220921,64575.0,+5%,0,5.0,False
000720,현대건설,68.5,watching,20220907,44650.0,20220922,42417.5,-5%,9,-5.0,False
036570,NC,67.7,watching,20220919,368000.0,20220922,349600.0,-5%,3,-5.0,False
003490,대한항공,68.5,watching,20220810,25850.0,20220923,24557.5,-5%,29,-5.0,False
034230,파라다이스,66.7,confirmed_turnaround,20220923,16550.0,20220923,15722.5,-5%,0,-5.0,False
241560,두산밥캣,69.7,watching,20220915,32450.0,20220923,30827.5,-5%,6,-5.0,False
006260,LS,67.0,watching,20220921,63400.0,20220926,60230.0,-5%,3,-5.0,False
009830,한화솔루션,66.4,watching,20220922,48900.0,20220926,46455.0,-5%,2,-5.0,False
