ticker,name,volume_ratio,buy_date,buy_price,sell_date,sell_price,sell_reason,holding_trading_days,return_pct,open_position
052690,한전기술,5.79,20221104,63226.2,20221118,62784.18,트레일링스톱-10%,10,-0.7,False
101490,에스앤에스텍,4.78,20221026,25450.8,20221122,28383.12,트레일링스톱-10%,19,11.52,False
008350,남선알미늄,9.2,20221123,2474.94,20221128,2505.98,트레일링스톱-10%,3,1.25,False
336260,두산퓨얼셀,4.51,20221104,30711.3,20221129,33682.5,트레일링스톱-10%,17,9.67,False
373200,엑스플러스,3.7,20221129,8166.3,20221130,7334.97,트레일링스톱-10%,1,-10.18,False
267270,HD건설기계,4.95,20221121,57414.6,20221202,57394.98,트레일링스톱-10%,9,-0.03,False
000250,삼천당제약,27.74,20221130,45190.2,20221207,44281.26,트레일링스톱-10%,5,-2.01,False
010820,퍼스텍,70.11,20221205,3401.79,20221207,3246.99,트레일링스톱-10%,2,-4.55,False
137400,피엔티,3.29,20221031,46893.6,20221209,46796.22,트레일링스톱-10%,29,-0.21,False
022100,포스코DX,49.44,20221201,7064.1,20221212,6520.93,트레일링스톱-10%,7,-7.69,False
230240,에치에프알,9.28,20221212,36472.8,20221223,35748.36,트레일링스톱-10%,9,-1.99,False
005500,삼진제약,5.38,20221208,27354.6,20221229,25598.7,트레일링스톱-10%,15,-6.42,False
141080,리가켐바이오,33.39,20221226,41182.2,20230104,40598.64,트레일링스톱-10%,5,-1.42,False
253450,스튜디오드래곤,3.17,20221213,88075.8,20230104,80299.08,트레일링스톱-10%,14,-8.83,False
291230,엔피,11.49,20230118,6613.2,20230119,6134.71,트레일링스톱-10%,1,-7.24,False
023530,롯데쇼핑,3.56,20221208,90380.4,20230208,91616.4,트레일링스톱-10%,40,1.37,False
251270,넷마블,22.78,20230103,55611.0,20230209,57394.98,트레일링스톱-10%,25,3.21,False
050110,캠시스,34.83,20230120,2289.57,20230213,2061.37,트레일링스톱-10%,14,-9.97,False
048550,SM C&C,9.24,20230214,4829.64,20230216,5380.22,트레일링스톱-10%,2,11.4,False
015750,성우하이텍,12.37,20230217,6322.62,20230222,7131.71,트레일링스톱-10%,3,12.8,False
272210,한화시스템,11.16,20230118,12825.6,20230224,12790.37,트레일링스톱-10%,25,-0.27,False
399720,가온칩스,2.85,20230223,28106.1,20230227,29371.14,트레일링스톱-10%,2,4.5,False
001430,세아베스틸지주,6.63,20230228,25350.6,20230228,22769.91,트레일링스톱-10%,0,-10.18,False
200880,서연이화,21.22,20230224,11102.16,20230310,12395.16,트레일링스톱-10%,9,11.65,False
007070,GS리테일,7.87,20230209,30460.8,20230313,27754.38,트레일링스톱-10%,21,-8.88,False
000150,두산,10.51,20230228,99699.0,20230314,100328.94,트레일링스톱-10%,9,0.63,False
348210,넥스틴,4.55,20230210,57214.2,20230316,55688.4,트레일링스톱-10%,23,-2.67,False
006110,삼아알미늄,3.83,20230317,59418.6,20230322,68173.38,트레일링스톱-10%,3,14.73,False
065370,위세아이텍,9.5,20230323,25551.0,20230323,22949.91,트레일링스톱-10%,0,-10.18,False
399720,가온칩스,3.93,20230317,29709.3,20230323,33098.67,트레일링스톱-10%,4,11.41,False
001780,알루코,13.86,20230323,3376.74,20230324,3255.97,트레일링스톱-10%,1,-3.58,False
281740,레이크머티리얼즈,37.66,20230317,8066.1,20230324,7922.12,트레일링스톱-10%,5,-1.78,False
383310,에코프로에이치엔,8.62,20230324,89178.0,20230327,81197.28,트레일링스톱-10%,1,-8.95,False
082920,비츠로셀,9.76,20230327,21042.0,20230328,19176.57,트레일링스톱-10%,1,-8.87,False
036930,주성엔지니어링,16.5,20230327,15490.92,20230403,15431.08,트레일링스톱-10%,5,-0.39,False
022100,포스코DX,56.19,20230329,8356.68,20230404,9583.79,트레일링스톱-10%,4,14.68,False
012030,DB,5.04,20230404,1953.9,20230405,1836.82,트레일링스톱-10%,1,-5.99,False
035610,솔본,16.32,20230327,5310.6,20230410,4769.98,트레일링스톱-10%,10,-10.18,False
361610,SK아이이테크놀로지,10.15,20230405,88075.8,20230411,85149.36,트레일링스톱-10%,4,-3.32,False
005160,동국산업,5.77,20230411,8096.16,20230413,8263.44,트레일링스톱-10%,2,2.07,False
381970,케이카,9.5,20230405,13326.6,20230413,15224.49,트레일링스톱-10%,6,14.24,False
101490,에스앤에스텍,3.94,20230317,35921.7,20230418,44685.45,트레일링스톱-10%,22,24.4,False
001340,PKC,15.06,20230419,6513.0,20230420,6098.78,트레일링스톱-10%,1,-6.36,False
302440,SK바이오사이언스,5.8,20230414,82063.8,20230420,75808.08,트레일링스톱-10%,4,-7.62,False
007700,F&F홀딩스,8.28,20230414,26052.0,20230421,23892.12,트레일링스톱-10%,5,-8.29,False
200130,콜마비앤에이치,6.65,20230419,25901.7,20230421,23264.91,트레일링스톱-10%,2,-10.18,False
053690,한미글로벌,2.71,20230424,38777.4,20230424,34829.86,트레일링스톱-10%,0,-10.18,False
065450,빅텍,40.99,20230421,5761.5,20230426,5353.27,트레일링스톱-10%,3,-7.09,False
011810,STX,9.34,20230427,10200.36,20230428,10356.25,트레일링스톱-10%,1,1.53,False
248070,솔루엠,14.26,20230502,24248.4,20230509,25374.15,트레일링스톱-10%,4,4.64,False
108320,LX세미콘,2.84,20230424,107915.4,20230516,99520.56,트레일링스톱-10%,14,-7.78,False
105630,한세실업,12.69,20230412,17645.22,20230519,16535.86,트레일링스톱-10%,25,-6.29,False
002380,KCC,8.35,20230425,234969.0,20230525,211049.16,트레일링스톱-10%,20,-10.18,False
007660,이수페타시스,9.85,20230523,11082.12,20230601,14757.43,트레일링스톱-10%,6,33.16,False
039840,디오,7.88,20230622,34819.5,20230626,32290.29,트레일링스톱-10%,2,-7.26,False
298050,HS효성첨단소재,3.93,20230523,459417.0,20230629,458082.0,트레일링스톱-10%,25,-0.29,False
251630,브이원텍,13.47,20230622,12855.66,20230703,12934.08,트레일링스톱-10%,7,0.61,False
011930,신성이엔지,26.89,20230704,2980.95,20230705,2677.49,트레일링스톱-10%,1,-10.18,False
399720,가온칩스,20.31,20230706,38226.3,20230710,34805.25,트레일링스톱-10%,2,-8.95,False
086280,현대글로비스,3.89,20230523,174648.6,20230721,182334.6,트레일링스톱-10%,41,4.4,False
304100,솔트룩스,19.04,20230711,22845.6,20230721,29460.96,트레일링스톱-10%,8,28.96,False
011210,현대위아,4.17,20230628,65130.0,20230726,63323.1,트레일링스톱-10%,20,-2.77,False
039200,오스코텍,17.62,20230724,26252.4,20230726,26451.99,트레일링스톱-10%,2,0.76,False
010620,HD현대미포,3.93,20230523,77454.6,20230727,84700.26,트레일링스톱-10%,45,9.35,False
361610,SK아이이테크놀로지,12.27,20230727,114428.4,20230727,102779.59,트레일링스톱-10%,0,-10.18,False
019170,신풍제약,9.5,20230728,19939.8,20230728,17909.93,트레일링스톱-10%,0,-10.18,False
096530,씨젠,8.4,20230728,22244.4,20230802,22544.82,트레일링스톱-10%,3,1.35,False
086390,유니테스트,15.39,20230803,14709.36,20230804,13410.13,트레일링스톱-10%,1,-8.83,False
190510,나무가,19.42,20230727,14709.36,20230804,14074.79,트레일링스톱-10%,6,-4.31,False
335890,비올,8.6,20230731,8016.0,20230810,8011.94,트레일링스톱-10%,8,-0.05,False
241590,화승엔터프라이즈,4.86,20230807,8997.96,20230814,8326.31,트레일링스톱-10%,5,-7.46,False
025980,아난티,71.26,20230811,8506.98,20230816,8344.28,트레일링스톱-10%,2,-1.91,False
105630,한세실업,5.28,20230807,19328.58,20230823,19580.76,트레일링스톱-10%,11,1.3,False
000100,유한양행,16.24,20230724,67835.4,20230828,70867.98,트레일링스톱-10%,24,4.47,False
096610,알에프세미,16.51,20230831,16893.72,20230831,15173.94,트레일링스톱-10%,0,-10.18,False
089790,제이티,95.72,20230831,8426.82,20230905,9305.35,트레일링스톱-10%,3,10.43,False
348340,뉴로메카,10.82,20230901,43086.0,20230905,45448.92,트레일링스톱-10%,2,5.48,False
000490,대동,9.56,20230906,15831.6,20230908,18233.46,트레일링스톱-10%,2,15.17,False
003230,삼양식품,11.05,20230816,179558.4,20230908,185927.4,트레일링스톱-10%,17,3.55,False
042000,카페24,28.81,20230831,14258.46,20230908,12835.28,트레일링스톱-10%,6,-9.98,False
054450,텔레칩스,7.61,20230906,25751.4,20230908,25149.6,트레일링스톱-10%,2,-2.34,False
170900,동아에스티,7.69,20230911,69639.0,20230920,63862.02,트레일링스톱-10%,7,-8.3,False
267250,HD현대,4.7,20230911,68837.4,20230920,67814.1,트레일링스톱-10%,7,-1.49,False
126340,비나텍,2.73,20230911,59118.0,20230921,55778.22,트레일링스톱-10%,8,-5.65,False
003030,세아제강지주,4.11,20230921,219438.0,20230925,218711.7,트레일링스톱-10%,2,-0.33,False
008350,남선알미늄,25.01,20230925,2555.1,20230927,2447.59,트레일링스톱-10%,2,-4.21,False
004000,롯데정밀화학,16.77,20230911,63326.4,20231005,56879.77,트레일링스톱-10%,14,-10.18,False
028670,팬오션,5.1,20230921,4969.92,20231005,4634.71,트레일링스톱-10%,6,-6.74,False
145020,휴젤,3.67,20230911,123045.6,20231005,125298.9,트레일링스톱-10%,14,1.83,False
402030,코난테크놀로지,3.1,20230927,74348.4,20231005,72933.84,트레일링스톱-10%,2,-1.9,False
368770,파이버프로,11.48,20231025,3216.42,20231026,3062.86,트레일링스톱-10%,1,-4.77,False
067310,하나마이크론,3.43,20231025,28106.1,20231027,26092.71,트레일링스톱-10%,2,-7.16,False
319400,현대무벡스,62.08,20231025,3171.33,20231027,2887.71,트레일링스톱-10%,2,-8.94,False
087010,펩트론,3.74,20231027,28106.1,20231030,27125.64,트레일링스톱-10%,1,-3.49,False
